epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7196,2.05522,2.73294,1.81345,0.85058,0.1713,0.46196,0.18069,1.8429,3.40384,1.61639,0.000655914,0.000655914,0.000655914
2,28.2526,1.98944,2.11266,1.8116,0.69431,0.55556,0.54816,0.23194,2.07165,2.50076,2.06234,0.00130512,0.00130512,0.00130512
3,41.5201,2.0093,2.03334,1.84416,0.71604,0.65741,0.62968,0.27149,1.87903,1.99799,1.83861,0.00193673,0.00193673,0.00193673
4,54.6529,1.99757,1.94724,1.90831,0.51249,0.55968,0.45932,0.16331,2.05007,2.92797,2.01629,0.0019208,0.0019208,0.0019208
5,68.2724,1.99919,1.81731,1.88275,0.57931,0.60648,0.56641,0.23391,1.97778,2.55848,1.87389,0.0018944,0.0018944,0.0018944
6,81.5992,1.96527,1.77043,1.86796,0.69849,0.71296,0.69517,0.3091,1.96595,1.54029,1.88669,0.001868,0.001868,0.001868
7,94.8994,1.95613,1.73814,1.86837,0.7109,0.75463,0.67414,0.26823,1.94902,1.50939,1.88686,0.0018416,0.0018416,0.0018416
8,108.666,1.9153,1.64192,1.83289,0.7466,0.7037,0.68756,0.30741,1.9006,1.42196,1.81763,0.0018152,0.0018152,0.0018152
9,121.972,1.88691,1.6391,1.8195,0.71731,0.69444,0.67088,0.28365,1.92295,1.47188,1.89444,0.0017888,0.0017888,0.0017888
10,135.285,1.87429,1.59943,1.80223,0.79223,0.74074,0.73014,0.32078,1.95147,1.4936,1.8993,0.0017624,0.0017624,0.0017624
11,148.315,1.84443,1.54673,1.79312,0.7512,0.7037,0.69838,0.30803,1.85732,1.40616,1.8224,0.001736,0.001736,0.001736
12,161.385,1.84934,1.48776,1.78124,0.73171,0.7197,0.73314,0.32067,1.97483,1.29195,1.84216,0.0017096,0.0017096,0.0017096
13,174.341,1.82693,1.5104,1.76609,0.77662,0.76852,0.7401,0.3265,1.86712,1.31385,1.85308,0.0016832,0.0016832,0.0016832
14,187.323,1.82957,1.5231,1.80935,0.76094,0.76389,0.72931,0.29287,1.88808,1.52787,1.86856,0.0016568,0.0016568,0.0016568
15,200.287,1.8136,1.4806,1.76023,0.78608,0.76558,0.77386,0.3385,1.86652,1.21924,1.8652,0.0016304,0.0016304,0.0016304
16,213.225,1.79429,1.43341,1.7604,0.8105,0.75,0.76609,0.332,1.88683,1.23705,1.84418,0.001604,0.001604,0.001604
17,226.29,1.78959,1.39563,1.73397,0.77793,0.72222,0.72237,0.31518,1.88428,1.23801,1.85176,0.0015776,0.0015776,0.0015776
18,239.242,1.7792,1.3955,1.73102,0.79706,0.76389,0.7658,0.35256,1.88253,1.15512,1.82112,0.0015512,0.0015512,0.0015512
19,252.197,1.74394,1.34857,1.70554,0.70505,0.75254,0.71369,0.32125,1.90074,1.22301,1.86771,0.0015248,0.0015248,0.0015248
20,265.207,1.75675,1.36996,1.7212,0.83837,0.76852,0.79739,0.36257,1.85497,1.13256,1.83023,0.0014984,0.0014984,0.0014984
21,278.146,1.7505,1.32689,1.7208,0.81018,0.80093,0.76296,0.34197,1.85944,1.08915,1.84336,0.001472,0.001472,0.001472
22,291.249,1.73772,1.30887,1.69641,0.82253,0.75,0.78494,0.34289,1.89394,1.23189,1.87643,0.0014456,0.0014456,0.0014456
23,304.178,1.76333,1.35237,1.73809,0.70376,0.56944,0.60668,0.28019,1.8996,1.5875,1.88625,0.0014192,0.0014192,0.0014192
24,317.11,1.71825,1.26024,1.67585,0.86457,0.72222,0.80425,0.34304,1.89912,1.14013,1.85113,0.0013928,0.0013928,0.0013928
25,330.099,1.70692,1.31953,1.69109,0.8203,0.76852,0.78105,0.34416,1.82589,1.17754,1.82042,0.0013664,0.0013664,0.0013664
26,343.101,1.69163,1.25349,1.6714,0.82469,0.80093,0.8308,0.38201,1.81823,1.01088,1.8223,0.00134,0.00134,0.00134
27,356.143,1.6866,1.22552,1.66205,0.85214,0.77778,0.80919,0.36079,1.89873,1.03255,1.85019,0.0013136,0.0013136,0.0013136
28,369.085,1.66776,1.20282,1.64267,0.76289,0.75,0.78445,0.35501,1.89458,1.11766,1.84701,0.0012872,0.0012872,0.0012872
29,382.051,1.69927,1.29317,1.68156,0.81617,0.7963,0.80882,0.35239,1.86582,1.01267,1.83911,0.0012608,0.0012608,0.0012608
30,395.007,1.63866,1.16192,1.62457,0.80046,0.74537,0.80246,0.35974,1.8255,1.03217,1.79068,0.0012344,0.0012344,0.0012344
31,408.034,1.64928,1.1422,1.63195,0.83241,0.79167,0.81009,0.34903,1.86686,1.05701,1.85513,0.001208,0.001208,0.001208
32,421.073,1.64905,1.1702,1.62929,0.78142,0.74479,0.77763,0.35372,1.83156,1.04295,1.81958,0.0011816,0.0011816,0.0011816
33,434.045,1.62173,1.10769,1.59531,0.83667,0.73521,0.78081,0.34944,1.89891,1.0518,1.86253,0.0011552,0.0011552,0.0011552
34,447.013,1.61257,1.10532,1.60623,0.84185,0.71469,0.80672,0.34299,1.89172,0.99675,1.87347,0.0011288,0.0011288,0.0011288
35,459.981,1.59466,1.07547,1.57564,0.78206,0.68115,0.72509,0.29577,2.05551,1.15051,2.05752,0.0011024,0.0011024,0.0011024
36,473.035,1.56999,1.10657,1.57695,0.86324,0.75926,0.8215,0.37288,1.85128,0.99157,1.83363,0.001076,0.001076,0.001076
37,486.009,1.5998,1.08236,1.59605,0.84859,0.7784,0.79082,0.33801,1.8994,0.99658,1.88356,0.0010496,0.0010496,0.0010496
38,498.936,1.55187,1.04593,1.56529,0.88862,0.77567,0.84896,0.38162,1.83893,0.92393,1.8109,0.0010232,0.0010232,0.0010232
39,511.906,1.54441,1.02508,1.55492,0.88322,0.77778,0.83058,0.37532,1.87293,0.94275,1.8875,0.0009968,0.0009968,0.0009968
40,524.862,1.56676,1.04467,1.56736,0.82557,0.74498,0.81835,0.3544,1.88474,1.00564,1.86114,0.0009704,0.0009704,0.0009704
41,537.981,1.52296,0.9959,1.53309,0.85587,0.76389,0.80846,0.35491,1.91204,0.98671,1.9151,0.000944,0.000944,0.000944
42,550.922,1.53235,0.97724,1.52279,0.79188,0.75,0.77252,0.32491,1.97489,1.0424,1.99209,0.0009176,0.0009176,0.0009176
43,563.876,1.51139,1.00845,1.53446,0.85848,0.73611,0.82171,0.37015,1.85676,0.99874,1.81743,0.0008912,0.0008912,0.0008912
44,576.845,1.51939,1.01717,1.53364,0.78449,0.73611,0.76645,0.32357,2.01089,1.0293,1.99958,0.0008648,0.0008648,0.0008648
45,589.796,1.47744,0.99823,1.50207,0.8376,0.76407,0.8017,0.35296,1.90443,0.98744,1.93753,0.0008384,0.0008384,0.0008384
46,602.864,1.47504,0.95968,1.50211,0.83318,0.77315,0.82122,0.3756,1.87017,0.92358,1.86561,0.000812,0.000812,0.000812
47,615.825,1.44139,0.96877,1.49094,0.80928,0.78704,0.81433,0.35758,1.91155,0.93592,1.93091,0.0007856,0.0007856,0.0007856
48,628.751,1.44057,0.92789,1.48601,0.84333,0.7963,0.83274,0.35427,1.9274,0.90352,1.97198,0.0007592,0.0007592,0.0007592
49,641.736,1.41751,0.93729,1.46291,0.80853,0.75463,0.78616,0.34904,1.91877,0.92256,1.98267,0.0007328,0.0007328,0.0007328
